,order_id,payment_sequential,payment_type,payment_installments,payment_value,flag_parcelamento,flag_inconsistencia_parcelamento
75,3689194c14ad4e2e7361ebd1df0e77b0,2,voucher,1,57.53,0,0
21801,3689194c14ad4e2e7361ebd1df0e77b0,1,credit_card,1,95.74,0,0
